[Cycle   76] PC: 0000012c | opcode: 00 | inst_ID: 012b5027 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle   77] PC: 00000130 | opcode: 00 | inst_ID: 012a402a | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle   78] PC: 00000134 | opcode: 00 | inst_ID: 016b4827 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle   79] PC: 00000138 | opcode: 00 | inst_ID: 0169502b | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: ffffffff
[Cycle   80] PC: 0000013c | opcode: 00 | inst_ID: 01485025 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  8 | WB_Data: 00000000
[Cycle   81] PC: 00000140 | opcode: 00 | inst_ID: 010b4821 | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: ffffffff
[Cycle   82] PC: 00000144 | opcode: 00 | inst_ID: 016b582a | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000001
[Cycle   83] PC: 00000148 | opcode: 00 | inst_ID: 0129502a | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000001
[Cycle   84] PC: 0000014c | opcode: 00 | inst_ID: 010b482a | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle   85] PC: 00000150 | opcode: 00 | inst_ID: 01294826 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 11 | WB_Data: 00000000
[Cycle   86] PC: 00000154 | opcode: 00 | inst_ID: 016a482b | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
[Cycle   87] PC: 00000158 | opcode: 00 | inst_ID: 0108482b | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle   88] PC: 0000015c | opcode: 00 | inst_ID: 0128502a | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle   89] PC: 00000160 | opcode: 00 | inst_ID: 012b502b | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle   90] PC: 00000164 | opcode: 00 | inst_ID: 010a582a | Flush: 0 || WB_RegWrite: 1 | WB_Addr:  9 | WB_Data: 00000000
[Cycle   91] PC: 00000168 | opcode: 00 | inst_ID: 01295024 | Flush: 0 || WB_RegWrite: 1 | WB_Addr: 10 | WB_Data: 00000000
